,status,x_marst,x_occup08,x_diplom,x_age,region,xh5,xj1,xj4.1,xj13.2
0,ПГТ,Bдовец (вдова),работники сферы торговли и услуг,законченное среднее образование,64.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Вы сейчас работаете,ЗДРАВООХРАНЕНИЕ,25000.0
1,ПГТ,Никогда в браке не состояли,,незаконченное среднее образование (7 - 8 кл) + что-то еще,75.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2,ПГТ,Состоите в зарегистрированном браке,,законченное среднее специальное образование,73.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
3,ПГТ,Состоите в зарегистрированном браке,,незаконченное среднее образование (7 - 8 кл),65.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
4,ПГТ,Состоите в зарегистрированном браке,"квалифицированные рабочие, использующие машины и механизмы",законченное среднее образование,51.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Вы сейчас работаете,"ТРАНСПОРТ, СВЯЗЬ",18000.0
5,Село,Состоите в зарегистрированном браке,,законченное среднее образование,61.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
6,Село,Состоите в зарегистрированном браке,,законченное среднее образование,65.0,"Ленинградская область, Волосовский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
7,Село,Bдовец (вдова),,окончил 0 - 6 классов,91.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
8,Село,Bдовец (вдова),,законченное среднее специальное образование,66.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
9,Село,Состоите в зарегистрированном браке,,законченное среднее специальное образование,65.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
10,Село,Bдовец (вдова),работники сферы торговли и услуг,законченное среднее образование,66.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Вы сейчас работаете,ЗДРАВООХРАНЕНИЕ,28000.0
11,Село,"Живете вместе, но не зарегистрированы",специалисты высшего уровня квалификации,законченное высшее образование и выше,43.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Вы сейчас работаете,ОБРАЗОВАНИЕ,70000.0
12,Село,Состоите в зарегистрированном браке,работники сферы торговли и услуг,законченное среднее образование,56.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Вы сейчас работаете,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,20000.0
13,Село,Состоите в зарегистрированном браке,работники сферы торговли и услуг,законченное среднее образование,50.0,"Ленинградская область, Волосовский район",МУЖСКОЙ,Вы сейчас работаете,"ТРАНСПОРТ, СВЯЗЬ",20000.0
14,Село,Никогда в браке не состояли,,незаконченное среднее образование (7 - 8 кл) + что-то еще,38.0,"Ленинградская область, Волосовский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
15,Село,Состоите в зарегистрированном браке,законодатели; крупные чиновники; руководители высш. и сред. звена,законченное высшее образование и выше,57.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Вы сейчас работаете,ЗДРАВООХРАНЕНИЕ,35000.0
16,Село,Состоите в зарегистрированном браке,"квалифицированные рабочие, занятые ручным трудом",законченное высшее образование и выше,56.0,"Ленинградская область, Волосовский район",МУЖСКОЙ,Вы сейчас работаете,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,50000.0
17,Село,Состоите в зарегистрированном браке,,законченное среднее образование,55.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
18,Село,Состоите в зарегистрированном браке,работники сферы торговли и услуг,законченное среднее образование,57.0,"Ленинградская область, Волосовский район",МУЖСКОЙ,Вы сейчас работаете,ОБРАЗОВАНИЕ,25000.0
19,Село,Bдовец (вдова),,законченное среднее специальное образование,82.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
20,Село,Bдовец (вдова),,законченное среднее образование,64.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
21,Село,Состоите в зарегистрированном браке,работники сферы торговли и услуг,законченное среднее специальное образование,61.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",15000.0
22,Село,Состоите в зарегистрированном браке,,законченное среднее образование,63.0,"Ленинградская область, Волосовский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
23,Село,Состоите в зарегистрированном браке,,законченное высшее образование и выше,64.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
24,Село,Состоите в зарегистрированном браке,,законченное высшее образование и выше,69.0,"Ленинградская область, Волосовский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
25,Село,"Живете вместе, но не зарегистрированы",специалисты среднего уровня квалификации; чиновники,законченное высшее образование и выше,42.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Вы сейчас работаете,ОРГАНЫ УПРАВЛЕНИЯ,31000.0
26,Село,Bдовец (вдова),,законченное среднее специальное образование,42.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
27,Село,Bдовец (вдова),,окончил 0 - 6 классов,80.0,"Ленинградская область, Волосовский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
28,Село,Bдовец (вдова),,законченное среднее образование,69.0,"Ленинградская область, Волосовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
