Name	Age	Nationality	Club	Value	Wage
L. Messi	31.0	Argentina	FC Barcelona	110500000.0	565000.0
	33.0	Portugal	Juventus	77000000.0	405000.0
Neymar Jr	26.0	Brazil	Paris Saint-Germain	118500000.0	290000.0
De Gea	27.0	Spain	Manchester United	72000000.0	260000.0
K. De Bruyne	27.0	Belgium	Manchester City	102000000.0	355000.0
E. Hazard	27.0	Belgium	Chelsea	93000000.0	340000.0
L. Modrić	32.0	Croatia	Real Madrid	67000000.0	420000.0
L. Suárez	31.0	Uruguay	FC Barcelona	80000000.0	455000.0
Sergio Ramos	32.0	Spain	Real Madrid	51000000.0	380000.0
J. Oblak	25.0	Slovenia	Atlético Madrid	68000000.0	94000.0
R. Lewandowski	29.0	Poland	FC Bayern München	77000000.0	205000.0
T. Kroos	28.0	Germany	Real Madrid		355000.0
D. Godín	32.0	Uruguay	Atlético Madrid	44000000.0	125000.0
David Silva	32.0	Spain	Manchester City	60000000.0	285000.0
N. Kanté	27.0	France	Chelsea	63000000.0	225000.0
P. Dybala	24.0	Argentina	Juventus	89000000.0	205000.0
	24.0	England	Tottenham Hotspur	83500000.0	205000.0
A. Griezmann	27.0	France	Atlético Madrid	78000000.0	145000.0
M. ter Stegen	26.0	Germany	FC Barcelona	58000000.0	240000.0
T. Courtois	26.0	Belgium		53500000.0	240000.0
Sergio Busquets	29.0	Spain	FC Barcelona	51500000.0	315000.0
E. Cavani	31.0	Uruguay	Paris Saint-Germain	60000000.0	200000.0
M. Neuer	32.0	Germany	FC Bayern München	38000000.0	130000.0
S. Agüero	30.0	Argentina	Manchester City	64500000.0	300000.0
G. Chiellini		Italy	Juventus	27000000.0	215000.0
K. Mbappé		France		81000000.0	100000.0
M. Salah	26.0	Egypt	Liverpool	69500000.0	255000.0
	26.0	Brazil	Real Madrid	59500000.0	285000.0
J. Rodríguez	26.0	Colombia	FC Bayern München	69500000.0	315000.0
L. Insigne	27.0	Italy	Napoli	62000000.0	165000.0
Isco	26.0	Spain	Real Madrid		315000.0
C. Eriksen	26.0	Denmark	Tottenham Hotspur	73500000.0	205000.0
Coutinho	26.0	Brazil	FC Barcelona	69500000.0	340000.0
P. Aubameyang	29.0	Gabon	Arsenal	59000000.0	265000.0
M. Hummels	29.0	Germany	FC Bayern München	46000000.0	160000.0
Marcelo	30.0	Brazil	Real Madrid	43000000.0	285000.0
G. Bale	28.0	Wales		60000000.0	355000.0
H. Lloris	31.0	France	Tottenham Hotspur	36000000.0	150000.0
G. Higuaín	30.0	Argentina	Milan	57000000.0	245000.0
Thiago Silva	33.0	Brazil	Paris Saint-Germain	24000000.0	165000.0
S. Handanovič	33.0	Slovenia	Inter	30000000.0	110000.0
G. Buffon	40.0	Italy	Paris Saint-Germain	4000000.0	77000.0
S. Umtiti	24.0	France	FC Barcelona	57000000.0	205000.0
M. Icardi	25.0	Argentina	Inter	64500000.0	130000.0
K. Koulibaly		Senegal	Napoli	51000000.0	115000.0
P. Pogba	25.0	France	Manchester United	64000000.0	210000.0
K. Navas	31.0	Costa Rica	Real Madrid	30500000.0	195000.0
R. Lukaku	25.0	Belgium	Manchester United	62500000.0	230000.0
C. Immobile	28.0	Italy	Lazio	52000000.0	115000.0
Jordi Alba	29.0	Spain	FC Barcelona	38000000.0	250000.0
	31.0	Belgium	Napoli	45000000.0	135000.0
J. Vertonghen	31.0	Belgium	Tottenham Hotspur	34000000.0	155000.0
M. Hamšík	30.0	Slovakia	Napoli	46500000.0	125000.0
	30.0	Croatia	FC Barcelona	46500000.0	260000.0
Piqué	31.0	Spain	FC Barcelona	34000000.0	240000.0
L. Sané	22.0	Germany	Manchester City	61000000.0	195000.0
Bernardo Silva	23.0	Portugal	Manchester City	59500000.0	180000.0
Ederson	24.0	Brazil	Manchester City	41500000.0	125000.0
S. Mané	26.0	Senegal	Liverpool		195000.0
V. van Dijk	26.0	Netherlands	Liverpool	44500000.0	165000.0
R. Sterling	23.0		Manchester City	56500000.0	195000.0
Roberto Firmino	26.0	Brazil	Liverpool		195000.0
R. Varane	25.0	France	Real Madrid	50000000.0	210000.0
M. Verratti	25.0	Italy	Paris Saint-Germain	55000000.0	135000.0
Alex Sandro	27.0	Brazil	Juventus	36500000.0	160000.0
Douglas Costa	27.0	Brazil	Juventus	46500000.0	175000.0
T. Müller	28.0	Germany	FC Bayern München	45000000.0	135000.0
Thiago	27.0	Spain	FC Bayern München	45500000.0	130000.0
M. Reus	29.0	Germany	Borussia Dortmund		100000.0
Azpilicueta	28.0	Spain	Chelsea	35000000.0	175000.0
L. Bonucci	31.0	Italy	Juventus	30000000.0	160000.0
T. Alderweireld	29.0	Belgium	Tottenham Hotspur	39000000.0	150000.0
M. Pjanić	28.0	Bosnia Herzegovina	Juventus	44000000.0	180000.0
M. Benatia	31.0	Morocco	Juventus	30000000.0	160000.0
M. Özil	29.0	Germany	Arsenal	43500000.0	190000.0
Fernandinho	33.0	Brazil	Manchester City	18000000.0	185000.0
Iniesta	34.0		Vissel Kobe	21500000.0	21000.0
M. Škriniar	23.0	Slovakia	Inter	46500000.0	82000.0
S. Milinković-Savić	23.0	Serbia	Lazio	50500000.0	73000.0
Marco Asensio	22.0	Spain	Real Madrid	54000000.0	215000.0
N. Fekir	24.0	France	Olympique Lyonnais	50000000.0	92000.0
Alisson	25.0	Brazil	Liverpool	36500000.0	115000.0
J. Kimmich	23.0	Germany	FC Bayern München	40500000.0	92000.0
Saúl	23.0	Spain	Atlético Madrid	50500000.0	77000.0
R. Mahrez	27.0	Algeria	Manchester City	40500000.0	205000.0
D. Alaba	26.0	Austria	FC Bayern München	38000000.0	110000.0
Koke	26.0	Spain	Atlético Madrid	45000000.0	88000.0
A. Lacazette	27.0	France	Arsenal	45000000.0	180000.0
K. Manolas	27.0	Greece	Roma	37500000.0	96000.0
N. Otamendi	30.0	Argentina	Manchester City	28500000.0	170000.0
Parejo	29.0	Spain	Valencia CF	37000000.0	66000.0
